"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/ArtSources/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","64","2","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","32","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","32","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","50","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","0","136","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","0","36","2","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","120","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","0","0","136","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","0","100","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","120","6","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","42","2","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","0","5","1","0.000000","0","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","14","1","0.000000","0","0"
"/Game/ArtSources/Characters/Nomad/NMD_Materials/nomad_low_standardSurface1_BaseColor_sRGB_Mat.nomad_low_standardSurface1_BaseColor_sRGB_Mat","0","0","6","1","0.000000","0","0"
"/Game/Core/TopDown/Cursor/M_Cursor.M_Cursor","0","0","32","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_009.TTN_009","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_010.TTN_010","0","0","6","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","0","10","2","0.000000","0","0"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY05.SCRY05","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY04.SCRY04","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY03.SCRY03","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY02.SCRY02","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY01.SCRY01","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_001.TTN_001","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_002.TTN_002","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_003.TTN_003","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_004.TTN_004","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_005.TTN_005","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_006.TTN_006","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_007.TTN_007","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_008.TTN_008","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_011.TTN_011","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_012.TTN_012","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_013.TTN_013","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_014.TTN_014","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_015.TTN_015","0","0","6","1","0.000000","0","0"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_016.TTN_016","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","16","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","632","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","75","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","31","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","25","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","5","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","63","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","6","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","6","1","0.000000","0","0"
